age,wife education,husband education,number,wife religion,wife working,husband occupation,standard,media,class
,2.0,3.0,3.0,1.0,1.0,2.0,3.0,0.0,True
45.0,1.0,3.0,10.0,1.0,1.0,,4.0,0.0,True
43.0,2.0,,7.0,1.0,1.0,3.0,4.0,,True
42.0,3.0,2.0,,,1.0,3.0,3.0,0.0,True
36.0,3.0,3.0,8.0,1.0,1.0,,,0.0,True
19.0,,4.0,,1.0,1.0,,3.0,,True
38.0,2.0,3.0,6.0,1.0,,,2.0,0.0,True
21.0,3.0,3.0,,1.0,0.0,,2.0,,True
27.0,,,,1.0,1.0,3.0,,0.0,True
45.0,1.0,,8.0,1.0,1.0,2.0,2.0,1.0,True
38.0,,3.0,2.0,1.0,0.0,,3.0,1.0,True
42.0,1.0,4.0,4.0,1.0,1.0,1.0,,0.0,True
,,4.0,1.0,1.0,0.0,1.0,4.0,0.0,True
42.0,,4.0,,1.0,0.0,3.0,,0.0,True
38.0,3.0,,,1.0,1.0,2.0,3.0,0.0,True
26.0,2.0,,0.0,1.0,1.0,,1.0,0.0,True
,1.0,1.0,7.0,1.0,,2.0,,0.0,True
39.0,2.0,2.0,6.0,,1.0,2.0,4.0,0.0,True
,2.0,2.0,,,,2.0,,0.0,True
39.0,2.0,1.0,5.0,,1.0,2.0,1.0,1.0,True
,,,1.0,1.0,0.0,4.0,1.0,0.0,True
24.0,3.0,4.0,0.0,,0.0,3.0,1.0,0.0,True
46.0,4.0,4.0,,,,1.0,,0.0,True
39.0,4.0,,1.0,1.0,1.0,1.0,4.0,0.0,True
48.0,4.0,4.0,5.0,1.0,,,4.0,0.0,True
40.0,2.0,4.0,8.0,1.0,1.0,3.0,3.0,0.0,True
38.0,4.0,,1.0,1.0,0.0,1.0,4.0,0.0,True
29.0,4.0,4.0,0.0,1.0,,1.0,,0.0,True
24.0,4.0,4.0,0.0,1.0,,2.0,2.0,0.0,True
,1.0,2.0,8.0,1.0,1.0,2.0,4.0,0.0,True
31.0,,4.0,2.0,1.0,1.0,,4.0,,True
31.0,4.0,,2.0,,,3.0,2.0,0.0,True
26.0,2.0,,0.0,1.0,0.0,1.0,2.0,0.0,True
,2.0,2.0,2.0,1.0,1.0,3.0,1.0,0.0,True
24.0,2.0,3.0,1.0,,1.0,3.0,,0.0,True
,1.0,,9.0,1.0,,3.0,2.0,1.0,True
43.0,1.0,2.0,8.0,1.0,0.0,3.0,1.0,0.0,True
25.0,3.0,3.0,4.0,1.0,1.0,3.0,2.0,,True
42.0,2.0,2.0,3.0,1.0,1.0,3.0,4.0,0.0,True
,2.0,,,1.0,1.0,2.0,4.0,0.0,True
28.0,,1.0,3.0,1.0,1.0,3.0,1.0,,True
47.0,2.0,3.0,0.0,,0.0,1.0,3.0,,True
,2.0,4.0,2.0,1.0,,1.0,3.0,0.0,True
40.0,4.0,4.0,2.0,,1.0,,4.0,0.0,True
28.0,2.0,2.0,1.0,1.0,,3.0,2.0,,True
25.0,,4.0,1.0,1.0,1.0,2.0,1.0,0.0,True
32.0,,4.0,2.0,1.0,1.0,2.0,,0.0,True
45.0,4.0,4.0,0.0,1.0,1.0,2.0,,0.0,True
26.0,4.0,4.0,1.0,1.0,1.0,,4.0,0.0,True
26.0,4.0,4.0,0.0,1.0,0.0,1.0,4.0,0.0,True
31.0,4.0,4.0,0.0,1.0,0.0,1.0,4.0,0.0,True
49.0,4.0,4.0,7.0,0.0,1.0,2.0,4.0,,True
40.0,3.0,4.0,8.0,1.0,1.0,,3.0,0.0,True
34.0,4.0,4.0,1.0,,0.0,2.0,3.0,0.0,True
36.0,,4.0,5.0,1.0,,,3.0,0.0,True
20.0,2.0,2.0,,,1.0,,2.0,1.0,True
43.0,4.0,,5.0,1.0,0.0,1.0,4.0,0.0,True
37.0,3.0,4.0,,1.0,1.0,2.0,1.0,0.0,True
21.0,,3.0,0.0,1.0,1.0,3.0,4.0,,True
,4.0,,6.0,1.0,,1.0,2.0,,True
42.0,3.0,3.0,10.0,1.0,1.0,3.0,3.0,0.0,True
20.0,2.0,3.0,,1.0,1.0,2.0,3.0,0.0,True
,,2.0,2.0,1.0,0.0,,3.0,0.0,True
22.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,0.0,True
27.0,2.0,4.0,,1.0,0.0,1.0,,0.0,True
24.0,2.0,4.0,1.0,,1.0,3.0,1.0,0.0,True
44.0,4.0,2.0,8.0,1.0,1.0,3.0,3.0,,True
30.0,,3.0,3.0,,1.0,3.0,1.0,0.0,True
23.0,3.0,4.0,,1.0,1.0,3.0,4.0,0.0,True
25.0,4.0,4.0,,1.0,0.0,3.0,,,True
,,3.0,4.0,,,2.0,,,True
48.0,,3.0,8.0,1.0,1.0,1.0,4.0,,True
29.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,True
29.0,2.0,3.0,1.0,1.0,1.0,1.0,,0.0,True
21.0,3.0,4.0,,1.0,1.0,,3.0,,True
21.0,3.0,4.0,,1.0,,2.0,3.0,0.0,True
29.0,4.0,4.0,0.0,1.0,0.0,2.0,4.0,0.0,True
45.0,3.0,4.0,,1.0,1.0,1.0,,0.0,True
33.0,2.0,3.0,2.0,1.0,,,2.0,0.0,True
,4.0,,1.0,1.0,0.0,1.0,4.0,0.0,True
24.0,4.0,4.0,,0.0,1.0,1.0,4.0,0.0,True
,,4.0,6.0,,,1.0,4.0,,True
24.0,2.0,4.0,1.0,1.0,0.0,4.0,4.0,0.0,True
,4.0,4.0,0.0,0.0,0.0,1.0,4.0,,True
,4.0,,2.0,1.0,1.0,1.0,4.0,,True
33.0,4.0,4.0,2.0,1.0,1.0,1.0,4.0,,True
25.0,4.0,4.0,1.0,1.0,1.0,1.0,3.0,0.0,True
35.0,4.0,4.0,3.0,,1.0,1.0,4.0,0.0,True
27.0,,4.0,4.0,,,1.0,4.0,0.0,True
24.0,2.0,2.0,3.0,1.0,0.0,,1.0,0.0,True
,2.0,3.0,0.0,1.0,1.0,2.0,1.0,0.0,True
46.0,2.0,4.0,6.0,1.0,,,4.0,,True
,2.0,2.0,,1.0,1.0,,1.0,0.0,True
38.0,2.0,2.0,1.0,1.0,0.0,3.0,2.0,0.0,True
47.0,1.0,2.0,,1.0,1.0,,3.0,,True
41.0,1.0,3.0,,1.0,1.0,2.0,3.0,1.0,True
,2.0,3.0,,1.0,0.0,,3.0,0.0,True
28.0,4.0,4.0,5.0,1.0,,2.0,1.0,0.0,True
,,2.0,3.0,1.0,,3.0,,0.0,True
27.0,2.0,3.0,5.0,,1.0,2.0,1.0,0.0,True
27.0,1.0,2.0,4.0,1.0,1.0,,1.0,,True
19.0,,3.0,0.0,1.0,0.0,2.0,2.0,0.0,True
27.0,2.0,4.0,,,0.0,3.0,2.0,0.0,True
,4.0,3.0,4.0,1.0,1.0,2.0,3.0,0.0,True
23.0,2.0,4.0,2.0,,1.0,,3.0,,True
40.0,,,3.0,1.0,1.0,,,0.0,True
22.0,4.0,,0.0,1.0,1.0,1.0,,0.0,True
44.0,,4.0,4.0,1.0,0.0,1.0,3.0,0.0,True
29.0,2.0,,2.0,1.0,1.0,,1.0,0.0,True
26.0,2.0,3.0,3.0,1.0,1.0,3.0,,0.0,True
,4.0,4.0,1.0,,0.0,3.0,3.0,0.0,True
32.0,,3.0,7.0,1.0,0.0,2.0,3.0,0.0,True
,4.0,4.0,1.0,1.0,,1.0,4.0,0.0,True
31.0,2.0,2.0,4.0,1.0,1.0,3.0,3.0,0.0,True
21.0,3.0,4.0,0.0,1.0,1.0,1.0,3.0,0.0,True
,4.0,,,,1.0,1.0,4.0,0.0,True
34.0,4.0,4.0,,,,3.0,3.0,0.0,True
44.0,,4.0,1.0,1.0,,1.0,,0.0,True
49.0,4.0,3.0,,1.0,1.0,2.0,3.0,0.0,True
26.0,2.0,3.0,2.0,,1.0,,,0.0,True
38.0,1.0,2.0,1.0,1.0,1.0,2.0,4.0,1.0,True
36.0,,3.0,,,1.0,,,0.0,True
26.0,3.0,4.0,2.0,1.0,1.0,,3.0,0.0,True
20.0,,3.0,1.0,0.0,,3.0,2.0,0.0,True
44.0,2.0,1.0,,1.0,,3.0,,,True
,3.0,4.0,2.0,,,1.0,2.0,,True
,4.0,,1.0,1.0,1.0,,3.0,0.0,True
36.0,,3.0,2.0,1.0,,3.0,2.0,1.0,True
43.0,,3.0,2.0,,,2.0,2.0,1.0,True
25.0,3.0,4.0,0.0,1.0,1.0,1.0,3.0,0.0,True
48.0,3.0,,3.0,,1.0,3.0,1.0,0.0,True
,4.0,4.0,0.0,,0.0,1.0,3.0,0.0,True
48.0,1.0,,8.0,1.0,1.0,3.0,1.0,0.0,True
28.0,3.0,4.0,1.0,1.0,1.0,3.0,1.0,,True
26.0,,4.0,1.0,1.0,1.0,1.0,3.0,0.0,True
26.0,,3.0,3.0,,0.0,,4.0,0.0,True
24.0,,4.0,2.0,1.0,1.0,3.0,3.0,0.0,True
21.0,,3.0,2.0,1.0,1.0,,2.0,,True
30.0,,4.0,2.0,0.0,1.0,3.0,1.0,0.0,True
20.0,4.0,,1.0,1.0,1.0,1.0,4.0,0.0,True
33.0,4.0,4.0,2.0,1.0,1.0,1.0,,,True
30.0,4.0,4.0,0.0,,0.0,3.0,3.0,0.0,True
47.0,,4.0,1.0,1.0,0.0,1.0,3.0,0.0,True
35.0,4.0,,2.0,0.0,1.0,3.0,,0.0,True
30.0,2.0,4.0,2.0,,,3.0,4.0,0.0,True
33.0,,4.0,3.0,1.0,,1.0,4.0,0.0,True
45.0,,,4.0,1.0,,,3.0,0.0,True
,,,2.0,1.0,1.0,1.0,4.0,0.0,True
32.0,,4.0,,,0.0,,3.0,0.0,True
43.0,4.0,,,1.0,1.0,1.0,4.0,0.0,True
44.0,4.0,4.0,3.0,1.0,1.0,2.0,4.0,0.0,True
21.0,,3.0,4.0,,1.0,3.0,2.0,0.0,True
44.0,3.0,,,1.0,,,4.0,1.0,True
23.0,,4.0,2.0,1.0,1.0,,4.0,0.0,True
47.0,1.0,,,,1.0,2.0,2.0,0.0,True
47.0,1.0,1.0,,1.0,1.0,2.0,3.0,,True
35.0,4.0,4.0,2.0,1.0,0.0,,4.0,0.0,True
,2.0,4.0,4.0,1.0,1.0,3.0,,0.0,True
45.0,1.0,4.0,5.0,1.0,1.0,1.0,2.0,1.0,True
22.0,2.0,2.0,2.0,1.0,1.0,3.0,1.0,0.0,True
23.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,True
30.0,,4.0,0.0,,0.0,,4.0,0.0,True
,,3.0,0.0,1.0,,2.0,3.0,0.0,True
40.0,3.0,3.0,1.0,1.0,0.0,3.0,3.0,0.0,True
34.0,4.0,,4.0,1.0,1.0,2.0,3.0,,True
37.0,3.0,4.0,1.0,,,2.0,4.0,0.0,True
,3.0,,5.0,1.0,,1.0,,,True
,,4.0,1.0,1.0,1.0,1.0,4.0,0.0,True
,4.0,4.0,0.0,,1.0,,4.0,,True
20.0,3.0,4.0,0.0,,0.0,2.0,4.0,0.0,True
47.0,4.0,4.0,4.0,1.0,1.0,1.0,4.0,,True
49.0,2.0,2.0,8.0,1.0,0.0,3.0,1.0,0.0,True
,2.0,4.0,1.0,1.0,,2.0,4.0,0.0,True
22.0,3.0,3.0,2.0,,1.0,3.0,4.0,0.0,True
25.0,,2.0,,1.0,1.0,3.0,2.0,0.0,True
32.0,2.0,4.0,,1.0,0.0,3.0,4.0,0.0,True
28.0,,,0.0,0.0,1.0,1.0,3.0,0.0,True
30.0,2.0,4.0,,1.0,0.0,1.0,4.0,0.0,True
,,4.0,2.0,1.0,0.0,2.0,4.0,,True
49.0,2.0,1.0,10.0,1.0,0.0,2.0,4.0,0.0,True
34.0,4.0,4.0,2.0,1.0,,1.0,4.0,0.0,True
25.0,2.0,4.0,1.0,1.0,,,2.0,0.0,True
,1.0,3.0,12.0,1.0,,3.0,3.0,0.0,True
,2.0,1.0,3.0,1.0,0.0,4.0,3.0,,True
35.0,,4.0,,,0.0,2.0,,0.0,True
,,3.0,,1.0,1.0,3.0,4.0,,True
20.0,2.0,4.0,0.0,1.0,,3.0,2.0,0.0,True
36.0,2.0,,,,1.0,3.0,,1.0,True
19.0,3.0,3.0,2.0,1.0,1.0,3.0,2.0,0.0,True
27.0,3.0,,3.0,1.0,1.0,3.0,2.0,0.0,True
,1.0,2.0,,,1.0,4.0,1.0,,True
31.0,3.0,4.0,3.0,1.0,0.0,,2.0,0.0,True
44.0,,,11.0,,,4.0,1.0,1.0,True
24.0,3.0,3.0,,1.0,1.0,3.0,3.0,0.0,True
18.0,3.0,4.0,0.0,,0.0,3.0,1.0,0.0,True
45.0,1.0,2.0,6.0,1.0,,3.0,3.0,1.0,True
,2.0,,3.0,,0.0,,1.0,0.0,True
36.0,3.0,4.0,6.0,1.0,1.0,2.0,4.0,,True
30.0,1.0,1.0,,1.0,1.0,,2.0,0.0,True
32.0,2.0,,,,,,3.0,0.0,True
42.0,1.0,,11.0,0.0,1.0,2.0,2.0,,True
,2.0,4.0,,1.0,1.0,3.0,,0.0,True
,2.0,4.0,,1.0,0.0,2.0,4.0,0.0,True
27.0,,3.0,2.0,1.0,1.0,3.0,3.0,,True
40.0,3.0,,1.0,1.0,1.0,,2.0,,True
22.0,2.0,3.0,2.0,1.0,1.0,3.0,1.0,0.0,True
26.0,2.0,4.0,0.0,1.0,1.0,3.0,1.0,,True
,3.0,4.0,0.0,1.0,0.0,2.0,3.0,0.0,True
,4.0,4.0,,,1.0,1.0,4.0,,True
,,3.0,3.0,1.0,,3.0,2.0,0.0,True
40.0,3.0,3.0,1.0,0.0,,3.0,4.0,0.0,True
45.0,1.0,2.0,1.0,,0.0,3.0,3.0,0.0,True
26.0,3.0,4.0,,1.0,1.0,,2.0,0.0,True
48.0,1.0,3.0,,,1.0,3.0,2.0,0.0,True
43.0,1.0,3.0,8.0,1.0,1.0,3.0,1.0,0.0,True
27.0,,4.0,2.0,1.0,0.0,2.0,2.0,0.0,True
42.0,3.0,2.0,1.0,,1.0,3.0,3.0,0.0,True
34.0,3.0,2.0,8.0,1.0,0.0,2.0,3.0,1.0,True
32.0,,,4.0,1.0,1.0,2.0,2.0,1.0,True
,3.0,3.0,2.0,1.0,0.0,2.0,,0.0,True
22.0,2.0,,1.0,1.0,1.0,3.0,3.0,0.0,True
27.0,,4.0,0.0,1.0,1.0,3.0,3.0,0.0,True
37.0,,2.0,2.0,1.0,,2.0,2.0,1.0,True
22.0,1.0,2.0,0.0,,1.0,2.0,4.0,,True
47.0,,,4.0,1.0,1.0,1.0,4.0,,True
32.0,4.0,4.0,4.0,,0.0,1.0,3.0,0.0,True
37.0,3.0,3.0,2.0,1.0,1.0,1.0,4.0,0.0,True
45.0,1.0,3.0,,1.0,1.0,,3.0,1.0,True
47.0,1.0,4.0,,1.0,1.0,3.0,3.0,0.0,True
28.0,3.0,4.0,0.0,,1.0,3.0,2.0,0.0,True
48.0,,3.0,4.0,1.0,1.0,,4.0,1.0,True
,2.0,4.0,1.0,,1.0,1.0,3.0,,True
,3.0,4.0,0.0,1.0,0.0,3.0,1.0,0.0,True
,2.0,3.0,1.0,1.0,1.0,2.0,4.0,0.0,True
39.0,1.0,1.0,5.0,1.0,0.0,3.0,1.0,1.0,True
27.0,2.0,3.0,,1.0,0.0,3.0,4.0,0.0,True
,2.0,3.0,5.0,1.0,0.0,3.0,,0.0,True
24.0,,,1.0,1.0,,3.0,3.0,0.0,True
39.0,3.0,3.0,6.0,,1.0,,3.0,,True
20.0,3.0,3.0,1.0,,1.0,2.0,3.0,0.0,True
,3.0,4.0,1.0,1.0,,2.0,3.0,0.0,True
40.0,3.0,3.0,4.0,1.0,1.0,2.0,2.0,,True
41.0,,4.0,4.0,,1.0,3.0,3.0,0.0,True
,4.0,,2.0,1.0,,1.0,3.0,0.0,True
,3.0,4.0,4.0,,1.0,1.0,4.0,0.0,True
34.0,4.0,,,,1.0,1.0,4.0,0.0,True
34.0,4.0,4.0,2.0,1.0,0.0,1.0,3.0,0.0,True
,,4.0,,1.0,1.0,1.0,4.0,0.0,True
27.0,4.0,4.0,1.0,1.0,1.0,1.0,2.0,0.0,True
,3.0,,11.0,1.0,0.0,2.0,2.0,1.0,True
34.0,4.0,4.0,3.0,0.0,1.0,1.0,2.0,0.0,True
,4.0,4.0,5.0,1.0,1.0,3.0,3.0,0.0,True
25.0,3.0,3.0,1.0,,1.0,3.0,,0.0,True
26.0,4.0,4.0,1.0,1.0,,1.0,4.0,,True
,1.0,3.0,4.0,1.0,1.0,3.0,3.0,1.0,True
36.0,,4.0,2.0,1.0,1.0,3.0,,0.0,True
38.0,3.0,4.0,2.0,0.0,1.0,2.0,4.0,0.0,True
44.0,1.0,,7.0,1.0,1.0,3.0,4.0,0.0,True
44.0,2.0,2.0,1.0,1.0,0.0,3.0,2.0,0.0,True
39.0,3.0,3.0,1.0,0.0,,3.0,,0.0,True
,1.0,2.0,7.0,1.0,,3.0,2.0,0.0,True
43.0,1.0,3.0,,1.0,,3.0,2.0,0.0,True
29.0,3.0,3.0,,1.0,0.0,2.0,4.0,0.0,True
,3.0,3.0,0.0,,1.0,2.0,,0.0,True
31.0,2.0,4.0,5.0,,,3.0,2.0,0.0,True
,4.0,4.0,0.0,1.0,1.0,,,0.0,True
45.0,3.0,4.0,6.0,1.0,,2.0,4.0,,True
42.0,,,10.0,,,3.0,,0.0,True
38.0,,3.0,7.0,1.0,1.0,3.0,1.0,0.0,True
47.0,1.0,1.0,6.0,1.0,0.0,3.0,1.0,0.0,True
30.0,4.0,4.0,2.0,1.0,1.0,,4.0,0.0,True
28.0,3.0,4.0,,1.0,,,4.0,,True
25.0,,4.0,1.0,1.0,1.0,2.0,1.0,0.0,True
,2.0,4.0,,0.0,,2.0,3.0,0.0,True
23.0,,4.0,2.0,1.0,0.0,2.0,,0.0,True
35.0,3.0,4.0,1.0,0.0,1.0,,,0.0,True
47.0,,1.0,,,1.0,2.0,,0.0,True
,2.0,3.0,,,1.0,,,0.0,True
,,4.0,6.0,,1.0,3.0,4.0,0.0,True
48.0,4.0,4.0,3.0,1.0,1.0,2.0,4.0,,True
43.0,2.0,3.0,6.0,1.0,,3.0,3.0,0.0,True
21.0,2.0,4.0,2.0,1.0,1.0,3.0,,0.0,True
22.0,4.0,,0.0,1.0,1.0,1.0,4.0,0.0,True
41.0,3.0,,5.0,1.0,,3.0,4.0,,True
29.0,,,2.0,1.0,0.0,4.0,,1.0,True
44.0,4.0,4.0,5.0,0.0,,2.0,,0.0,True
22.0,,4.0,0.0,,0.0,1.0,4.0,0.0,True
23.0,2.0,4.0,4.0,1.0,1.0,3.0,,0.0,True
22.0,,1.0,0.0,1.0,1.0,3.0,2.0,,True
,,,,1.0,1.0,2.0,2.0,,True
,4.0,4.0,1.0,1.0,,2.0,,0.0,True
36.0,4.0,4.0,,1.0,1.0,1.0,4.0,0.0,True
47.0,,2.0,2.0,1.0,1.0,2.0,4.0,0.0,True
40.0,4.0,,3.0,1.0,1.0,3.0,4.0,,True
29.0,4.0,4.0,1.0,1.0,1.0,,,0.0,True
,3.0,4.0,6.0,,1.0,1.0,,0.0,True
,,4.0,9.0,1.0,1.0,1.0,,0.0,True
47.0,4.0,4.0,2.0,,1.0,,4.0,0.0,True
28.0,,4.0,3.0,0.0,1.0,1.0,4.0,0.0,True
26.0,4.0,4.0,1.0,,1.0,1.0,,0.0,True
29.0,1.0,,7.0,,1.0,2.0,4.0,0.0,True
,4.0,2.0,0.0,1.0,0.0,2.0,2.0,0.0,True
25.0,3.0,,1.0,1.0,1.0,3.0,4.0,0.0,True
24.0,,,2.0,1.0,1.0,3.0,4.0,0.0,True
23.0,4.0,4.0,,,0.0,2.0,4.0,0.0,True
,4.0,4.0,2.0,1.0,0.0,3.0,3.0,0.0,True
44.0,1.0,2.0,2.0,1.0,1.0,2.0,4.0,0.0,True
39.0,3.0,4.0,6.0,1.0,,1.0,4.0,,True
21.0,3.0,3.0,0.0,1.0,1.0,2.0,2.0,0.0,True
22.0,3.0,,2.0,1.0,1.0,2.0,3.0,0.0,True
47.0,3.0,4.0,3.0,1.0,,2.0,3.0,0.0,True
36.0,3.0,3.0,,,,2.0,,0.0,True
25.0,1.0,,2.0,1.0,0.0,,3.0,,True
40.0,4.0,4.0,,,,3.0,4.0,0.0,True
36.0,2.0,,,,0.0,3.0,3.0,0.0,True
37.0,2.0,,5.0,0.0,0.0,2.0,4.0,0.0,True
,1.0,4.0,2.0,1.0,0.0,2.0,,0.0,True
30.0,,3.0,5.0,1.0,0.0,3.0,4.0,0.0,True
16.0,3.0,4.0,1.0,1.0,1.0,,3.0,0.0,True
32.0,,3.0,4.0,0.0,,2.0,4.0,0.0,True
40.0,4.0,4.0,3.0,0.0,1.0,3.0,4.0,0.0,True
40.0,,1.0,2.0,1.0,,3.0,,0.0,True
,3.0,4.0,,0.0,1.0,1.0,,0.0,True
21.0,1.0,3.0,0.0,1.0,0.0,3.0,4.0,1.0,True
28.0,4.0,4.0,1.0,0.0,,1.0,3.0,0.0,True
,4.0,4.0,1.0,0.0,,2.0,3.0,,True
44.0,1.0,3.0,,1.0,,3.0,3.0,1.0,True
35.0,,4.0,2.0,0.0,,3.0,4.0,0.0,True
49.0,,4.0,,,,3.0,4.0,,True
,,4.0,1.0,0.0,1.0,,4.0,0.0,True
32.0,,4.0,1.0,,1.0,2.0,4.0,0.0,True
35.0,1.0,,0.0,1.0,0.0,,4.0,0.0,True
,,2.0,1.0,1.0,0.0,,4.0,0.0,True
47.0,4.0,4.0,1.0,0.0,1.0,1.0,4.0,0.0,True
27.0,4.0,4.0,1.0,0.0,1.0,3.0,4.0,0.0,True
,2.0,2.0,,1.0,1.0,,2.0,1.0,True
34.0,4.0,3.0,0.0,0.0,,,3.0,0.0,True
30.0,4.0,,,,0.0,,4.0,0.0,True
25.0,4.0,4.0,0.0,1.0,0.0,2.0,4.0,0.0,True
,3.0,4.0,3.0,,1.0,,1.0,0.0,True
,2.0,3.0,4.0,,0.0,,2.0,,True
42.0,,,8.0,1.0,,4.0,3.0,0.0,True
23.0,,4.0,,0.0,1.0,2.0,4.0,0.0,True
45.0,3.0,,3.0,0.0,1.0,3.0,,0.0,True
21.0,4.0,,1.0,1.0,1.0,3.0,3.0,0.0,True
,4.0,4.0,,,1.0,2.0,4.0,0.0,True
33.0,4.0,4.0,1.0,0.0,0.0,3.0,,,True
32.0,,2.0,,1.0,1.0,,2.0,1.0,True
25.0,2.0,2.0,3.0,,1.0,,3.0,0.0,True
,3.0,,1.0,1.0,1.0,3.0,,0.0,True
,,2.0,2.0,1.0,1.0,3.0,,0.0,True
,,2.0,,1.0,1.0,3.0,1.0,,True
24.0,2.0,2.0,2.0,,1.0,3.0,1.0,1.0,True
32.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0,True
35.0,2.0,3.0,,1.0,1.0,3.0,2.0,0.0,True
27.0,2.0,2.0,1.0,1.0,0.0,3.0,2.0,1.0,True
,2.0,4.0,2.0,1.0,1.0,1.0,4.0,0.0,True
22.0,2.0,4.0,4.0,1.0,1.0,3.0,4.0,0.0,True
,2.0,3.0,0.0,1.0,,1.0,,0.0,True
25.0,,3.0,0.0,1.0,1.0,2.0,4.0,0.0,True
18.0,3.0,,1.0,1.0,1.0,,1.0,0.0,True
43.0,3.0,3.0,,,1.0,2.0,,0.0,True
37.0,1.0,3.0,,,1.0,3.0,4.0,0.0,True
30.0,2.0,3.0,2.0,1.0,0.0,2.0,4.0,0.0,True
29.0,,,0.0,1.0,1.0,2.0,2.0,,True
20.0,,3.0,,1.0,1.0,3.0,,0.0,True
,3.0,3.0,3.0,1.0,0.0,,,0.0,True
23.0,4.0,4.0,,1.0,1.0,,3.0,,True
34.0,,,7.0,1.0,0.0,,,0.0,True
23.0,3.0,3.0,,1.0,1.0,3.0,3.0,0.0,True
38.0,3.0,3.0,,,,1.0,4.0,0.0,True
37.0,2.0,,4.0,1.0,,2.0,3.0,0.0,True
