Sector_score,LOCATION_ID,PARA_A,Score_A,Risk_A,PARA_B,Score_B,Risk_B,TOTAL,numbers,Score_B.1,Risk_C,Money_Value,Score_MV,Risk_D,District_Loss,PROB,RiSk_E,History,Prob,Risk_F,Score,Inherent_Risk,CONTROL_RISK,Detection_Risk,Audit_Risk,class
3.89,,4.18,0.6,,2.5,0.2,0.5,6.68,,0.2,1.0,3.38,0.2,0.676,2,0.2,,0,0.2,0.0,2.4,8.574,0.4,0.5,1.7148,1
3.89,,0.0,0.2,,4.83,0.2,0.966,4.83,,0.2,,0.94,0.2,0.188,2,0.2,0.4,0,0.2,0.0,,2.554,0.4,,0.5108,0
3.89,6,0.51,0.2,,0.23,0.2,0.046,0.74,5.0,0.2,,0.0,0.2,0.0,2,0.2,0.4,0,0.2,0.0,2.0,1.548,0.4,0.5,,0
3.89,6,0.0,0.2,,10.8,,6.48,10.8,6.0,,3.6,11.75,,,,0.2,,0,0.2,0.0,4.4,17.53,0.4,0.5,3.506,1
3.89,6,0.0,0.2,0.0,0.08,0.2,0.016,0.08,5.0,0.2,1.0,0.0,0.2,0.0,2,0.2,,0,0.2,0.0,,,0.4,0.5,0.2832,0
,,0.0,,0.0,,0.2,0.166,0.83,5.0,0.2,1.0,2.95,0.2,,2,,0.4,0,,0.0,2.0,2.156,0.4,,,0
3.89,7,1.1,,0.44,7.41,0.4,2.964,8.51,5.0,0.2,1.0,44.95,0.6,26.97,2,0.2,0.4,0,0.2,0.0,3.2,31.774,0.4,0.5,6.3548,1
,8,8.5,0.6,,12.03,0.6,7.218,20.53,5.5,0.4,2.2,7.79,0.4,3.116,2,0.2,0.4,,0.2,0.0,4.2,18.034,0.4,0.5,3.6068,1
3.89,8,8.4,0.6,5.04,11.05,0.6,6.63,19.45,5.5,0.4,2.2,7.34,0.4,,2,0.2,0.4,,,0.0,4.2,17.206,0.4,0.5,,1
3.89,8,3.98,,2.388,0.99,0.2,0.198,4.97,5.0,,1.0,1.93,0.2,,2,0.2,0.4,0,0.2,0.0,2.4,,,0.5,,0
3.89,8,,0.6,3.258,10.77,0.6,6.462,,5.0,0.2,1.0,,0.2,0.884,2,0.2,,0,0.2,0.0,3.6,,0.4,0.5,2.4008,1
3.89,8,15.38,,9.228,,0.6,24.084,55.52,,0.2,1.0,0.96,0.2,0.192,2,0.4,0.8,1,0.4,,4.0,35.704,1.2,0.5,21.4224,1
3.89,,5.47,0.6,,7.63,0.4,3.052,13.1,5.0,0.2,1.0,10.43,,6.258,2,0.2,0.4,1,0.4,0.4,3.6,14.392,0.8,0.5,5.7568,1
3.89,8,1.09,0.4,,,0.2,0.07,1.44,5.0,0.2,,0.0,0.2,0.0,2,0.2,0.4,,,,2.2,1.906,0.4,0.5,0.3812,0
3.89,8,0.0,0.2,0.0,0.84,,0.168,0.84,5.0,0.2,1.0,0.007,0.2,,,,0.4,,0.2,0.0,,1.5694,0.4,,0.31388,0
3.89,13,1.95,0.4,0.78,9.01,0.4,3.604,10.96,5.0,0.2,,9.0,0.4,3.6,2,0.2,0.4,,0.2,,3.0,9.384,,0.5,,1
,37,8.54,0.6,5.124,31.63,0.6,18.978,40.17,5.0,0.2,1.0,41.28,,24.768,2,0.2,0.4,1,,0.4,4.2,50.67,0.8,0.5,20.268,1
3.89,,,,2.508,4.83,0.2,,9.01,,0.4,,14.03,0.6,8.418,2,0.2,0.4,0,0.2,0.0,3.2,14.492,0.4,0.5,2.8984,1
3.89,37,,0.4,,1.03,0.2,0.206,2.84,5.0,0.2,1.0,0.0,0.2,0.0,2,0.2,0.4,0,0.2,0.0,2.2,2.33,,0.5,0.466,0
3.89,,4.86,,2.916,46.78,,28.068,51.64,5.5,0.4,2.2,63.18,0.6,37.908,2,,0.4,0,,,4.4,71.492,0.4,0.5,14.2984,1
3.89,24,6.26,0.6,3.756,14.1,0.6,8.46,20.36,,0.2,1.0,34.24,0.6,,,0.2,0.4,1,0.4,0.4,4.2,34.56,0.8,,13.824,1
3.89,3,0.02,,0.004,5.94,,,5.96,5.0,0.2,1.0,0.01,0.2,0.002,,0.2,0.4,,,0.0,2.6,3.782,0.4,0.5,0.7564,0
3.89,3,5.31,0.6,3.186,22.79,,13.674,28.1,5.0,0.2,1.0,205.19,0.6,123.114,,0.2,0.4,,,0.4,4.2,141.774,0.8,0.5,56.7096,1
3.89,,0.94,,0.188,0.01,0.2,0.002,0.95,5.0,0.2,1.0,0.1,0.2,0.02,2,,,0,0.2,,2.0,1.61,0.4,,0.322,0
3.89,4,5.78,,3.468,57.92,0.6,34.752,63.7,5.0,0.2,1.0,11.16,0.6,6.696,,,0.4,0,,0.0,4.0,46.316,,,9.2632,1
3.89,4,,0.6,4.452,2.24,0.2,0.448,9.66,,0.2,1.0,1.25,0.2,0.25,2,,0.4,0,,0.0,2.4,6.55,,0.5,1.31,1
3.89,4,0.0,0.2,0.0,1.1,0.2,0.22,1.1,5.0,0.2,1.0,0.007,0.2,,2,0.2,0.4,0,,0.0,2.0,1.6214,,0.5,0.32428,0
3.89,14,6.85,0.6,4.11,31.76,0.6,,38.61,5.0,0.2,,1.46,0.2,0.292,2,0.2,,0,0.2,0.0,3.6,24.858,0.4,0.5,4.9716,1
3.89,14,0.0,,0.0,1.03,,0.206,1.03,5.0,0.2,1.0,0.0,0.2,0.0,2,,0.4,0,0.2,0.0,2.0,,,0.5,0.3212,0
3.89,37,0.0,0.2,0.0,0.75,0.2,,0.75,5.0,0.2,1.0,,0.4,2.712,2,0.2,,0,0.2,,2.2,4.262,0.4,0.5,0.8524,0
3.89,37,,,,16.63,,9.978,19.03,5.0,,1.0,1.16,0.2,0.232,,0.2,0.4,0,0.2,0.0,3.6,13.05,0.4,0.5,2.61,1
3.89,5,0.0,0.2,,0.05,,0.01,0.05,5.0,0.2,,152.41,0.6,,2,0.2,0.4,0,0.2,0.0,2.4,92.856,,,18.5712,1
3.89,5,0.0,0.2,,1.76,0.2,,1.76,5.0,0.2,,1.08,0.2,,2,,0.4,,0.2,,,1.968,0.4,0.5,0.3936,0
3.89,5,,0.2,0.0,2.97,0.2,0.594,,5.0,0.2,1.0,2.84,0.2,,,0.2,0.4,0,0.2,0.0,2.0,2.562,0.4,,,0
3.89,5,0.0,0.2,0.0,0.43,0.2,,0.43,5.0,0.2,1.0,0.0,0.2,,2,0.2,0.4,0,0.2,,2.0,1.486,0.4,0.5,0.2972,0
3.89,5,0.0,,,0.94,0.2,0.188,0.94,,0.2,1.0,0.9,0.2,0.18,2,0.2,0.4,0,0.2,0.0,,1.768,0.4,0.5,0.3536,0
3.89,20,9.01,0.6,5.406,,0.6,11.892,28.83,5.0,0.2,,9.67,0.4,3.868,,,0.4,0,,0.0,3.8,22.566,0.4,0.5,4.5132,1
3.89,19,0.0,0.2,0.0,0.05,,0.01,,,0.2,1.0,0.0,0.2,0.0,2,,0.4,0,0.2,,,,0.4,0.5,0.282,0
3.89,19,11.95,0.6,7.17,,0.6,18.54,42.85,5.0,0.2,,32.68,0.6,,2,,0.4,0,0.2,0.0,4.0,46.718,0.4,0.5,,1
,19,7.97,0.6,,17.18,,10.308,25.15,5.0,0.2,1.0,935.03,0.6,561.018,2,0.2,0.4,0,,0.0,,577.508,0.4,0.5,115.5016,1
,19,0.0,0.2,0.0,3.71,,0.742,3.71,,0.2,1.0,29.63,0.6,17.778,2,,0.4,0,0.2,,2.4,19.92,0.4,0.5,3.984,1
3.89,19,,0.2,0.124,,0.2,,,5.0,0.2,,0.11,0.2,0.022,2,0.2,0.4,0,0.2,0.0,2.0,1.95,0.4,0.5,0.39,0
3.89,19,0.0,0.2,0.0,2.27,0.2,0.454,2.27,,,,2.62,0.2,0.524,2,0.2,0.4,0,0.2,0.0,2.0,2.378,0.4,0.5,0.4756,0
3.89,,0.0,0.2,0.0,0.0,0.2,0.0,0.0,5.0,0.2,1.0,0.0,0.2,,2,0.2,0.4,0,,0.0,2.0,1.4,0.4,0.5,0.28,0
3.89,,1.32,0.4,0.528,0.0,0.2,,1.32,,0.2,1.0,0.06,0.2,0.012,2,0.2,,0,0.2,0.0,,,0.4,0.5,0.388,0
3.89,19,0.0,,0.0,1.03,0.2,0.206,1.03,,0.2,1.0,2.43,0.2,,2,,0.4,0,,0.0,2.0,2.092,0.4,0.5,0.4184,0
,21,0.0,0.2,0.0,,,9.228,15.38,5.0,,,126.13,0.6,,2,0.2,0.4,0,0.2,0.0,3.6,86.306,,0.5,,1
3.89,21,0.0,0.2,0.0,1.02,0.2,0.204,1.02,,,1.0,0.0,0.2,0.0,2,0.2,0.4,0,0.2,0.0,2.0,,0.4,,0.3208,0
3.89,21,,0.2,0.0,20.71,0.6,12.426,,5.0,,1.0,,,12.474,2,0.2,0.4,2,,1.2,4.0,27.5,1.6,0.5,,1
,22,2.95,0.6,1.77,6.56,0.4,,9.51,5.0,0.2,1.0,156.92,0.6,94.152,2,0.2,,0,0.2,0.0,,99.946,,0.5,19.9892,1
3.89,22,1.97,,0.788,2.1,0.2,,4.07,5.0,0.2,1.0,,,7.374,2,,1.2,0,0.2,0.0,3.0,10.782,1.2,0.5,6.4692,1
,22,0.0,0.2,0.0,,,10.83,18.05,5.0,0.2,1.0,2.29,0.2,0.458,2,,0.4,0,0.2,0.0,,12.688,0.4,,,1
3.89,,0.0,,0.0,0.93,0.2,0.186,0.93,5.0,0.2,1.0,,0.4,,2,0.2,0.4,0,0.2,0.0,2.2,4.698,0.4,0.5,0.9396,0
3.89,9,,0.2,0.0,1.61,0.2,0.322,1.61,5.0,0.2,1.0,,0.2,0.502,2,,0.4,0,0.2,0.0,2.0,2.224,,0.5,0.4448,0
3.89,9,6.32,0.6,3.792,,0.4,,15.33,5.0,0.2,,,0.4,,,0.2,,0,0.2,,,,0.4,0.5,2.424,1
3.89,9,0.0,0.2,0.0,1.05,0.2,0.21,1.05,5.0,,,0.16,0.2,,,,,,,,2.0,,,0.5,,0
3.89,11,0.0,0.2,0.0,,0.4,2.72,6.8,5.0,,1.0,47.9,0.6,28.74,,0.2,0.4,0,0.2,0.0,,32.86,0.4,0.5,6.572,1
,,14.04,,8.424,10.83,0.6,,,5.0,0.2,1.0,8.91,0.4,3.564,2,0.2,0.4,0,0.2,0.0,3.8,19.886,0.4,0.5,3.9772,1
3.89,11,,0.6,4.002,18.02,0.6,10.812,24.69,5.5,0.4,2.2,,,0.99,2,0.2,0.4,2,0.6,,4.4,19.604,,0.5,15.6832,1
,11,0.0,0.2,0.0,0.0,0.2,0.0,0.0,5.0,0.2,1.0,1.75,0.2,0.35,2,0.2,0.4,0,,,,1.75,0.4,0.5,0.35,0
3.89,11,0.0,0.2,0.0,0.08,0.2,0.016,,5.0,0.2,,0.68,,0.136,2,0.2,0.4,0,0.2,,2.0,1.552,0.4,,0.3104,0
3.89,,1.26,0.4,0.504,0.05,0.2,0.01,,5.0,0.2,1.0,0.0,0.2,0.0,2,0.2,0.4,0,0.2,0.0,2.2,1.914,0.4,0.5,0.3828,0
3.89,12,0.0,0.2,0.0,0.03,0.2,0.006,,5.0,,1.0,0.06,0.2,0.012,2,,0.4,0,,,2.0,1.418,0.4,0.5,0.2836,0
,12,0.0,0.2,,0.79,0.2,0.158,0.79,,,1.0,15.82,0.6,9.492,2,0.2,0.4,0,0.2,0.0,2.4,11.05,0.4,0.5,2.21,1
3.89,12,4.76,0.6,2.856,13.03,,7.818,17.79,,0.2,1.0,0.58,0.2,,2,0.2,,1,0.4,0.4,3.8,12.59,0.8,0.5,5.036,1
3.89,,8.81,0.6,5.286,,,3.608,17.83,5.0,0.2,1.0,215.31,0.6,129.186,2,0.2,,,0.4,0.4,3.6,139.88,,0.5,55.952,1
,12,0.0,0.2,0.0,0.07,0.2,0.014,0.07,5.0,0.2,1.0,0.0,0.2,0.0,2,,,,0.2,0.0,2.0,,0.4,0.5,0.2828,0
3.89,,13.92,0.6,8.352,2.2,0.2,0.44,16.12,5.0,0.2,,0.05,,0.01,2,0.2,0.4,0,,,2.4,10.202,0.4,0.5,,1
,,1.07,0.4,0.428,0.0,,0.0,1.07,5.0,0.2,,0.0,0.2,0.0,2,0.2,0.4,0,0.2,,2.2,1.828,0.4,0.5,0.3656,0
3.89,12,0.0,0.2,0.0,0.89,0.2,0.178,0.89,5.0,,,0.0,0.2,0.0,,,0.4,0,0.2,0.0,2.0,1.578,,0.5,0.3156,0
3.89,8,0.0,0.2,0.0,,0.2,0.796,,6.0,0.6,3.6,53.34,0.6,32.004,,0.2,0.4,0,0.2,0.0,3.2,36.8,,,7.36,1
3.89,8,10.0,0.6,6.0,74.26,0.6,44.556,84.26,5.5,,2.2,11.16,0.6,6.696,2,0.2,0.4,,0.6,1.8,4.8,,2.2,0.5,,1
3.89,29,4.24,0.6,2.544,8.06,0.4,3.224,12.3,5.0,0.2,1.0,10.69,0.6,6.414,2,0.2,0.4,0,0.2,,3.4,13.582,,0.5,2.7164,1
,29,12.27,,7.362,72.46,0.6,43.476,84.73,5.0,0.2,1.0,5.69,0.4,2.276,,0.2,0.4,0,0.2,0.0,3.8,54.514,0.4,0.5,10.9028,1
3.89,29,0.0,0.2,0.0,0.96,0.2,0.192,0.96,5.0,0.2,,1.35,0.2,0.27,2,,0.4,0,0.2,0.0,2.0,1.862,0.4,0.5,0.3724,0
,30,12.7,0.6,7.62,1.28,0.2,,,5.0,0.2,1.0,11.69,0.6,7.014,2,0.2,0.4,0,0.2,0.0,2.8,16.29,,,3.258,1
3.89,,0.0,0.2,0.0,63.13,0.6,37.878,63.13,5.0,0.2,1.0,14.6,0.6,8.76,,0.2,0.4,1,0.4,,3.8,48.438,0.8,,19.3752,1
3.89,,1.99,0.4,0.796,10.24,0.6,6.144,12.23,5.0,,1.0,20.78,0.6,,2,0.2,0.4,0,0.2,0.0,3.8,20.808,0.4,0.5,,1
,2,,0.2,0.01,0.21,0.2,0.042,0.26,5.5,0.4,,102.22,0.6,61.332,2,0.2,0.4,,0.2,0.0,2.8,63.984,0.4,0.5,,1
,2,,0.2,0.0,7.37,0.4,,7.37,5.0,,1.0,0.74,0.2,0.148,,,,0,0.2,0.0,2.6,4.496,,,0.8992,0
,2,0.0,,0.0,3.72,0.2,0.744,3.72,5.0,,1.0,0.0,0.2,0.0,2,,0.4,9,0.6,5.4,2.4,7.544,,0.5,21.8776,1
3.89,,71.48,0.6,42.888,25.63,0.6,15.378,97.11,5.0,0.2,1.0,873.37,,524.022,2,0.2,0.4,0,0.2,0.0,4.0,583.688,0.4,0.5,,1
3.89,2,0.0,0.2,0.0,0.0,0.2,,0.0,5.0,0.2,1.0,0.0,0.2,,2,0.2,0.4,0,0.2,0.0,2.0,1.4,0.4,0.5,0.28,0
3.89,2,,0.2,0.148,,0.2,0.2,1.74,5.0,0.2,,0.0,0.2,0.0,2,0.2,0.4,0,0.2,,2.0,1.748,,0.5,0.3496,0
3.89,2,0.0,0.2,0.0,0.58,0.2,0.116,0.58,,,1.0,0.0,0.2,0.0,2,0.2,,0,0.2,0.0,2.0,1.516,0.4,0.5,0.3032,0
3.89,9,8.46,0.6,5.076,,0.6,43.656,81.22,,0.2,1.0,1.4,0.2,0.28,2,,0.8,2,,1.2,4.2,,2.0,0.5,52.012,1
3.89,9,,0.2,0.084,0.07,0.2,0.014,,5.0,0.2,1.0,0.42,0.2,0.084,,0.2,,0,,,,1.582,0.4,0.5,0.3164,0
3.89,32,0.01,0.2,0.002,1.29,0.2,0.258,1.3,5.5,,2.2,,0.6,21.912,4,0.2,0.8,,,0.0,3.0,,0.8,,10.0688,1
,32,6.85,0.6,4.11,,0.6,,72.78,5.5,,2.2,6.02,,2.408,,,0.8,,0.2,0.0,4.4,49.076,0.8,0.5,19.6304,1
3.89,32,5.37,0.6,3.222,8.62,0.4,3.448,13.99,,0.2,1.0,17.16,0.6,10.296,4,0.2,0.8,,0.2,0.0,3.6,18.766,0.8,0.5,7.5064,1
3.89,32,4.93,,2.958,,0.4,2.616,11.47,5.5,0.4,2.2,,0.6,7.746,,0.2,0.8,0,0.2,0.0,4.0,16.32,0.8,0.5,6.528,1
3.89,32,1.22,0.4,0.488,,0.2,0.012,1.28,5.0,0.2,1.0,0.0,0.2,0.0,4,0.2,0.8,0,0.2,0.0,2.4,,0.8,0.5,,0
3.89,,0.0,0.2,0.0,,0.2,,0.85,5.0,,1.0,,0.2,0.0,4,0.2,0.8,0,0.2,0.0,2.2,1.97,0.8,0.5,0.788,0
3.89,16,,,9.432,,0.6,34.764,73.66,6.0,0.6,3.6,,0.6,6.474,6,,1.2,0,0.2,,,55.47,1.2,0.5,33.282,1
3.89,16,4.95,0.6,2.97,,0.6,25.566,47.56,5.0,0.2,1.0,3.46,,0.692,6,0.2,1.2,1,0.4,,4.2,31.828,,0.5,25.4624,1
3.89,16,0.0,,0.0,0.08,,0.016,0.08,5.0,0.2,,0.06,0.2,,6,0.2,1.2,,0.2,0.0,2.4,,1.2,0.5,,1
3.89,16,1.19,,0.476,12.88,,7.728,14.07,5.0,0.2,1.0,,0.2,0.466,6,0.2,1.2,0,0.2,0.0,3.8,10.87,,0.5,6.522,1
,16,0.0,0.2,0.0,,0.2,0.544,2.72,,0.2,,5.58,0.4,2.232,6,0.2,1.2,0,0.2,,2.6,4.976,1.2,0.5,,1
3.89,16,0.0,,0.0,1.66,,,1.66,5.0,0.2,,0.76,0.2,0.152,6,0.2,1.2,0,0.2,0.0,,,1.2,,1.6104,1
,16,6.47,0.6,3.882,12.18,0.6,7.308,18.65,5.0,0.2,1.0,25.27,0.6,15.162,6,0.2,,0,,0.0,4.4,28.552,1.2,0.5,17.1312,1
3.89,16,1.33,0.4,0.532,0.0,,,1.33,5.0,0.2,1.0,0.2,0.2,0.04,6,0.2,1.2,0,0.2,0.0,2.6,,,0.5,1.6632,1
,16,,,,1.1,0.2,,1.1,,0.2,1.0,0.0,0.2,0.0,,0.2,,,0.2,0.0,2.4,2.42,1.2,0.5,1.452,1
3.89,33,2.57,,1.542,4.49,0.2,0.898,7.06,5.0,0.2,1.0,,0.4,3.024,2,,,1,0.4,0.4,2.8,,0.8,0.5,,1
3.89,15,0.0,,0.0,1.88,0.2,0.376,1.88,5.0,0.2,1.0,0.0,0.2,0.0,2,,0.4,0,0.2,0.0,,,0.4,0.5,,0
3.89,,0.77,0.2,0.154,18.31,,,19.08,5.0,0.2,1.0,67.03,,40.218,2,0.2,0.4,0,0.2,0.0,3.6,52.758,0.4,0.5,10.5516,1
3.89,15,5.23,,3.138,5.89,0.4,2.356,11.12,5.0,,,19.4,0.6,11.64,2,0.2,0.4,,0.2,,,,0.4,0.5,3.7068,1
3.89,15,6.59,,,23.66,0.6,14.196,30.25,5.0,0.2,1.0,34.83,,20.898,,0.2,0.4,1,0.4,0.4,4.2,,0.8,0.5,16.3392,1
3.89,,7.18,0.6,4.308,,0.6,8.778,21.81,5.0,0.2,,98.75,0.6,59.25,2,0.2,0.4,0,,0.0,,73.736,0.4,0.5,14.7472,1
3.89,15,1.0,0.4,0.4,0.0,0.2,0.0,1.0,5.0,0.2,,0.36,,0.072,2,,0.4,0,0.2,0.0,,1.872,0.4,0.5,0.3744,0
3.89,13,0.0,0.2,0.0,0.06,0.2,0.012,0.06,5.0,0.2,1.0,0.0,0.2,0.0,2,0.2,,0,,0.0,,1.412,0.4,0.5,0.2824,0
3.89,13,2.63,0.6,1.578,2.55,0.2,0.51,,,0.2,,,0.2,,2,0.2,0.4,0,0.2,,2.4,3.488,0.4,0.5,0.6976,0
3.89,13,0.0,0.2,0.0,0.87,0.2,0.174,0.87,5.0,0.2,1.0,0.0,0.2,0.0,2,0.2,0.4,0,0.2,,,1.574,0.4,0.5,,0
3.89,36,10.96,0.6,6.576,,0.6,,52.43,5.0,0.2,1.0,35.21,0.6,21.126,,,0.4,1,0.4,0.4,4.2,54.384,0.8,0.5,,1
,6,0.0,0.2,0.0,0.23,0.2,0.046,,,0.2,1.0,,,,2,0.2,0.4,0,,0.0,2.0,1.446,0.4,0.5,0.2892,0
3.41,34,4.25,0.6,2.55,45.51,0.6,27.306,49.76,5.5,,2.2,8.2,0.4,3.28,,,0.4,0,0.2,0.0,,35.736,0.4,0.5,7.1472,1
3.41,18,1.98,0.4,0.792,51.42,0.6,30.852,53.4,5.5,,,,0.6,12.198,2,0.2,0.4,1,0.4,0.4,4.4,,0.8,0.5,18.7368,1
3.41,,1.44,0.4,,29.25,0.6,17.55,,5.0,0.2,1.0,,0.6,21.078,2,0.2,0.4,0,0.2,,,40.604,0.4,0.5,8.1208,1
3.41,39,1.52,0.4,,,0.6,22.398,38.85,5.5,0.4,2.2,63.7,0.6,38.22,2,0.2,,0,0.2,0.0,4.2,,0.4,0.5,,1
3.41,39,3.63,0.6,,10.85,0.4,4.34,,,0.2,1.0,0.28,0.2,0.056,,0.2,0.4,0,0.2,,3.0,7.974,0.4,,1.5948,1
3.41,2,1.35,0.4,0.54,66.35,0.6,39.81,67.7,5.5,0.4,2.2,27.13,,16.278,2,,0.4,,0.6,1.8,4.6,61.028,2.2,0.5,67.1308,1
3.41,,9.97,0.6,5.982,88.73,0.6,53.238,98.7,5.0,0.2,1.0,10.27,0.6,6.162,2,0.2,0.4,,0.2,0.0,4.0,66.782,0.4,0.5,13.3564,1
3.41,,1.41,0.4,0.564,36.16,0.6,21.696,37.57,,0.2,1.0,13.05,0.6,7.83,2,0.6,,0,0.2,0.0,4.2,32.29,1.2,0.5,19.374,1
3.41,8,,0.4,,,0.6,40.746,69.89,5.5,0.4,2.2,,,11.274,2,0.2,0.4,,0.4,,4.4,55.812,0.8,0.5,,1
3.41,11,10.08,0.6,6.048,22.31,,13.386,32.39,5.5,,2.2,16.82,0.6,10.092,2,0.2,0.4,0,0.2,,4.4,32.126,0.4,0.5,6.4252,1
