Dataset,method,Experiment,Accuracy,RMSE
23_ai4i,dynamic,1,0.8995 ± 0.0000,0.7993 ± 0.0000
23_ai4i,dynamic,2,0.8880 ± 0.0000,0.8034 ± 0.0041
23_ai4i,dynamic,3,0.9015 ± 0.0000,0.8019 ± 0.0039
23_ai4i,dynamic,4,0.9055 ± 0.0000,0.8013 ± 0.0035
23_ai4i,dynamic,5,0.8995 ± 0.0000,0.8011 ± 0.0032
23_ai4i,dynamic,6,0.9030 ± 0.0000,0.7987 ± 0.0061
23_ai4i,dynamic,7,0.9005 ± 0.0000,0.7973 ± 0.0066
23_ai4i,dynamic,8,0.9070 ± 0.0000,0.7958 ± 0.0074
23_ai4i,dynamic,9,0.8930 ± 0.0000,0.7972 ± 0.0080
23_ai4i,dynamic,10,0.8940 ± 0.0000,0.7989 ± 0.0092
23_ai4i,dynamic,11,0.9005 ± 0.0000,0.7994 ± 0.0089
23_ai4i,dynamic,12,0.9045 ± 0.0000,0.8005 ± 0.0092
23_ai4i,dynamic,13,0.9000 ± 0.0000,0.8008 ± 0.0089
23_ai4i,dynamic,14,0.8905 ± 0.0000,0.8005 ± 0.0086
23_ai4i,dynamic,15,0.9015 ± 0.0000,0.7997 ± 0.0089
23_ai4i,dynamic,16,0.9025 ± 0.0000,0.7992 ± 0.0088
23_ai4i,dynamic,17,0.8905 ± 0.0000,0.7994 ± 0.0086
23_ai4i,dynamic,18,0.9025 ± 0.0000,0.7997 ± 0.0084
23_ai4i,dynamic,19,0.8915 ± 0.0000,0.7988 ± 0.0091
23_ai4i,dynamic,20,0.8990 ± 0.0000,0.7997 ± 0.0097
23_ai4i,dynamic,21,0.8925 ± 0.0000,0.8009 ± 0.0110
23_ai4i,dynamic,22,0.8960 ± 0.0000,0.8016 ± 0.0111
23_ai4i,dynamic,23,0.8990 ± 0.0000,0.8019 ± 0.0110
23_ai4i,dynamic,24,0.9000 ± 0.0000,0.8014 ± 0.0110
23_ai4i,dynamic,25,0.9010 ± 0.0000,0.8006 ± 0.0115
23_ai4i,dynamic,26,0.9015 ± 0.0000,0.8005 ± 0.0113
23_ai4i,dynamic,27,0.8995 ± 0.0000,0.7996 ± 0.0119
23_ai4i,dynamic,28,0.8950 ± 0.0000,0.7997 ± 0.0117
23_ai4i,dynamic,29,0.9000 ± 0.0000,0.7997 ± 0.0115
23_ai4i,dynamic,30,0.8915 ± 0.0000,0.8001 ± 0.0115
23_ai4i,zero,1,0.8995 ± 0.0000,0.7643 ± 0.0000
23_ai4i,zero,2,0.8880 ± 0.0000,0.7689 ± 0.0046
23_ai4i,zero,3,0.9015 ± 0.0000,0.7707 ± 0.0046
23_ai4i,zero,4,0.9055 ± 0.0000,0.7688 ± 0.0052
23_ai4i,zero,5,0.8995 ± 0.0000,0.7697 ± 0.0050
23_ai4i,zero,6,0.9030 ± 0.0000,0.7697 ± 0.0046
23_ai4i,zero,7,0.9005 ± 0.0000,0.7713 ± 0.0057
23_ai4i,zero,8,0.9070 ± 0.0000,0.7706 ± 0.0056
23_ai4i,zero,9,0.8930 ± 0.0000,0.7711 ± 0.0055
23_ai4i,zero,10,0.8940 ± 0.0000,0.7717 ± 0.0055
23_ai4i,zero,11,0.9005 ± 0.0000,0.7717 ± 0.0052
23_ai4i,zero,12,0.9045 ± 0.0000,0.7710 ± 0.0054
23_ai4i,zero,13,0.9000 ± 0.0000,0.7700 ± 0.0064
23_ai4i,zero,14,0.8905 ± 0.0000,0.7701 ± 0.0062
23_ai4i,zero,15,0.9015 ± 0.0000,0.7709 ± 0.0066
23_ai4i,zero,16,0.9025 ± 0.0000,0.7709 ± 0.0064
23_ai4i,zero,17,0.8905 ± 0.0000,0.7705 ± 0.0064
23_ai4i,zero,18,0.9025 ± 0.0000,0.7701 ± 0.0065
23_ai4i,zero,19,0.8915 ± 0.0000,0.7711 ± 0.0077
23_ai4i,zero,20,0.8990 ± 0.0000,0.7707 ± 0.0076
23_ai4i,zero,21,0.8925 ± 0.0000,0.7705 ± 0.0075
23_ai4i,zero,22,0.8960 ± 0.0000,0.7707 ± 0.0073
23_ai4i,zero,23,0.8990 ± 0.0000,0.7711 ± 0.0074
23_ai4i,zero,24,0.9000 ± 0.0000,0.7710 ± 0.0073
23_ai4i,zero,25,0.9010 ± 0.0000,0.7711 ± 0.0072
23_ai4i,zero,26,0.9015 ± 0.0000,0.7714 ± 0.0071
23_ai4i,zero,27,0.8995 ± 0.0000,0.7714 ± 0.0070
23_ai4i,zero,28,0.8950 ± 0.0000,0.7710 ± 0.0071
23_ai4i,zero,29,0.8990 ± 0.0000,0.7710 ± 0.0070
23_ai4i,zero,30,0.8915 ± 0.0000,0.7710 ± 0.0069
23_ai4i,knn,1,0.8995 ± 0.0000,0.1846 ± 0.0000
23_ai4i,knn,2,0.8880 ± 0.0000,0.1845 ± 0.0001
23_ai4i,knn,3,0.9015 ± 0.0000,0.1865 ± 0.0028
23_ai4i,knn,4,0.9055 ± 0.0000,0.1848 ± 0.0038
23_ai4i,knn,5,0.8995 ± 0.0000,0.1865 ± 0.0048
23_ai4i,knn,6,0.9030 ± 0.0000,0.1871 ± 0.0046
23_ai4i,knn,7,0.9005 ± 0.0000,0.1877 ± 0.0045
23_ai4i,knn,8,0.9070 ± 0.0000,0.1886 ± 0.0047
23_ai4i,knn,9,0.8930 ± 0.0000,0.1886 ± 0.0045
23_ai4i,knn,10,0.8940 ± 0.0000,0.1881 ± 0.0045
23_ai4i,knn,11,0.9005 ± 0.0000,0.1877 ± 0.0045
23_ai4i,knn,12,0.9045 ± 0.0000,0.1879 ± 0.0044
23_ai4i,knn,13,0.9000 ± 0.0000,0.1872 ± 0.0048
23_ai4i,knn,14,0.8905 ± 0.0000,0.1865 ± 0.0052
23_ai4i,knn,15,0.9015 ± 0.0000,0.1867 ± 0.0051
23_ai4i,knn,16,0.9025 ± 0.0000,0.1870 ± 0.0051
23_ai4i,knn,17,0.8905 ± 0.0000,0.1867 ± 0.0051
23_ai4i,knn,18,0.9025 ± 0.0000,0.1866 ± 0.0050
23_ai4i,knn,19,0.8915 ± 0.0000,0.1872 ± 0.0054
23_ai4i,knn,20,0.8990 ± 0.0000,0.1872 ± 0.0052
23_ai4i,knn,21,0.8925 ± 0.0000,0.1869 ± 0.0053
23_ai4i,knn,22,0.8960 ± 0.0000,0.1868 ± 0.0052
23_ai4i,knn,23,0.8990 ± 0.0000,0.1868 ± 0.0051
23_ai4i,knn,24,0.9000 ± 0.0000,0.1870 ± 0.0050
23_ai4i,knn,25,0.9010 ± 0.0000,0.1868 ± 0.0050
23_ai4i,knn,26,0.9015 ± 0.0000,0.1866 ± 0.0050
23_ai4i,knn,27,0.8995 ± 0.0000,0.1867 ± 0.0050
23_ai4i,knn,28,0.8950 ± 0.0000,0.1867 ± 0.0049
23_ai4i,knn,29,0.9000 ± 0.0000,0.1868 ± 0.0049
23_ai4i,knn,30,0.8915 ± 0.0000,0.1868 ± 0.0048
23_ai4i,datawig,1,0.8995 ± 0.0000,0.1695 ± 0.0000
23_ai4i,datawig,2,0.8880 ± 0.0000,0.1709 ± 0.0014
23_ai4i,datawig,3,0.9015 ± 0.0000,0.1728 ± 0.0029
23_ai4i,datawig,4,0.9055 ± 0.0000,0.1720 ± 0.0029
23_ai4i,datawig,5,0.8995 ± 0.0000,0.1724 ± 0.0027
23_ai4i,datawig,6,0.9030 ± 0.0000,0.1727 ± 0.0026
23_ai4i,datawig,7,0.9005 ± 0.0000,0.1729 ± 0.0024
23_ai4i,datawig,8,0.9070 ± 0.0000,0.1733 ± 0.0026
23_ai4i,datawig,9,0.8930 ± 0.0000,0.1734 ± 0.0024
23_ai4i,datawig,10,0.8940 ± 0.0000,0.1729 ± 0.0027
23_ai4i,datawig,11,0.9005 ± 0.0000,0.1724 ± 0.0030
23_ai4i,datawig,12,0.9045 ± 0.0000,0.1727 ± 0.0030
23_ai4i,datawig,13,0.9000 ± 0.0000,0.1724 ± 0.0031
23_ai4i,datawig,14,0.8905 ± 0.0000,0.1721 ± 0.0032
23_ai4i,datawig,15,0.9015 ± 0.0000,0.1724 ± 0.0033
23_ai4i,datawig,16,0.9025 ± 0.0000,0.1727 ± 0.0035
23_ai4i,datawig,17,0.8905 ± 0.0000,0.1724 ± 0.0036
23_ai4i,datawig,18,0.9025 ± 0.0000,0.1722 ± 0.0036
23_ai4i,datawig,19,0.8915 ± 0.0000,0.1726 ± 0.0040
23_ai4i,datawig,20,0.8990 ± 0.0000,0.1727 ± 0.0039
23_ai4i,datawig,21,0.8925 ± 0.0000,0.1724 ± 0.0041
23_ai4i,datawig,22,0.8960 ± 0.0000,0.1722 ± 0.0040
23_ai4i,datawig,23,0.8990 ± 0.0000,0.1723 ± 0.0040
23_ai4i,datawig,24,0.9000 ± 0.0000,0.1726 ± 0.0041
23_ai4i,datawig,25,0.9010 ± 0.0000,0.1726 ± 0.0040
23_ai4i,datawig,26,0.9015 ± 0.0000,0.1724 ± 0.0040
23_ai4i,datawig,27,0.8995 ± 0.0000,0.1726 ± 0.0040
23_ai4i,datawig,28,0.8950 ± 0.0000,0.1725 ± 0.0039
23_ai4i,datawig,29,0.9000 ± 0.0000,0.1727 ± 0.0039
23_ai4i,datawig,30,0.8915 ± 0.0000,0.1726 ± 0.0039
